Sample	Attribute	Primary	Attribute	Secondary	Scdry Attr	Cap	Sample	Primary	Secondary	Peak	Name	Position	MW(kDa)	Height	Area	%Area	Width	S/N	Baseline	Channel
"sHF101.4"	""	"Primary"	""	"Secondary"	""	6	A6	C6	D6	5		403	60.202	18290.84	534843.865	 	27.4702	35.6	1177.41	CHEMI
"sHF101.4"	""	"Primary"	""	"Secondary"	""	6	A6	C6	D6	6		455	106.769	61095.66	1514307.679	 	23.2847	163.3	1214.89	CHEMI
"sHF101.4"	""	"Primary"	""	"Secondary"	""	6	A6	C6	D6	7		487	154.37	202521.08	6133763.197	 	28.4528	972.8	1225.55	CHEMI
"sHF101.4"	""	"Primary"	""	"Secondary"	""	6	A6	C6	D6	8		522	210.767	84495.2	2048428.295	 	22.7749	84.9	1228.57	CHEMI
"sHF101.5"	""	"Primary"	""	"Secondary"	""	7	A7	C7	D7	1		187	3.094	15479.37	407216.498	 	24.7138	123.5	643.88	CHEMI
"sHF101.5"	""	"Primary"	""	"Secondary"	""	7	A7	C7	D7	2		323	34.965	4259.34	98811.797	 	21.7938	78.6	1096.41	CHEMI
"sHF101.5"	""	"Primary"	""	"Secondary"	""	7	A7	C7	D7	3		344	39.924	4381.55	123424.657	 	26.4631	27.6	1140.85	CHEMI
"sHF101.5"	""	"Primary"	""	"Secondary"	""	7	A7	C7	D7	4		376	51.721	10740.03	249399.944	 	21.8152	60.7	1195.31	CHEMI
"sHF101.5"	""	"Primary"	""	"Secondary"	""	7	A7	C7	D7	5		404	59.497	19952.68	615068.202	 	28.9594	61.5	1231.02	CHEMI
"sHF101.5"	""	"Primary"	""	"Secondary"	""	7	A7	C7	D7	6		455	104.745	48299.68	1150262.455	 	22.3728	143.0	1271.33	CHEMI
"sHF101.5"	""	"Primary"	""	"Secondary"	""	7	A7	C7	D7	7		487	153.477	185946.09	6321855.608	 	31.9393	996.7	1282.92	CHEMI
"sHF101.5"	""	"Primary"	""	"Secondary"	""	7	A7	C7	D7	8		522	213.314	71774.4	2001786.118	 	26.2009	150.9	1285.9	CHEMI
"sHF101.6"	""	"Primary"	""	"Secondary"	""	8	A8	C8	D8	1		189	2.657	14999.49	355173.415	 	22.245	112.0	596.7	CHEMI
"sHF101.6"	""	"Primary"	""	"Secondary"	""	8	A8	C8	D8	2		325	35.254	2814.33	64578.959	 	21.5568	38.0	959.4	CHEMI
"sHF101.6"	""	"Primary"	""	"Secondary"	""	8	A8	C8	D8	3		348	41.497	4705.03	105703.215	 	21.1054	33.2	993.17	CHEMI
"sHF101.6"	""	"Primary"	""	"Secondary"	""	8	A8	C8	D8	4		376	50.966	7204.57	152909.082	 	19.9385	33.5	1024.83	CHEMI
"sHF101.6"	""	"Primary"	""	"Secondary"	""	8	A8	C8	D8	5		404	59.546	12790.66	360859.325	 	26.5041	34.1	1047.03	CHEMI
"sHF101.6"	""	"Primary"	""	"Secondary"	""	8	A8	C8	D8	6		455	106.061	45178.52	952601.682	 	19.8083	121.9	1066.36	CHEMI
"sHF101.6"	""	"Primary"	""	"Secondary"	""	8	A8	C8	D8	7		488	154.51	196750.51	6017751.277	 	28.7333	1266.1	1066.69	CHEMI
"sHF101.6"	""	"Primary"	""	"Secondary"	""	8	A8	C8	D8	8		522	214.947	69878.7	1904979.258	 	25.6102	76.8	1059.02	CHEMI
"sHF101.7"	""	"Primary"	""	"Secondary"	""	9	A9	C9	D9	1		190	3.363	7021.83	195842.079	 	26.2013	50.1	575.17	CHEMI
"sHF101.7"	""	"Primary"	""	"Secondary"	""	9	A9	C9	D9	2		326	35.35	3796.15	118873.004	 	29.4177	49.7	972.28	CHEMI
"sHF101.7"	""	"Primary"	""	"Secondary"	""	9	A9	C9	D9	3		380	52.458	6847.97	216955.122	 	29.7629	26.4	1087.13	CHEMI
"sHF101.7"	""	"Primary"	""	"Secondary"	""	9	A9	C9	D9	4		405	60.15	13231.86	435042.199	 	30.8872	43.7	1129.24	CHEMI
"sHF101.7"	""	"Primary"	""	"Secondary"	""	9	A9	C9	D9	5		455	101.936	35364.29	871636.285	 	23.1546	97.1	1195.75	CHEMI
"sHF101.7"	""	"Primary"	""	"Secondary"	""	9	A9	C9	D9	6		490	150.963	150595.64	5375629.276	 	33.5339	702.1	1230.49	CHEMI
"sHF101.7"	""	"Primary"	""	"Secondary"	""	9	A9	C9	D9	7		526	213.919	59829.61	1960459.328	 	30.7829	59.4	1258.16	CHEMI
"sHF101.8"	""	"Primary"	""	"Secondary"	""	10	A10	C10	D10	1		188	2.666	8554.32	212833.384	 	23.3734	67.5	486.75	CHEMI
"sHF101.8"	""	"Primary"	""	"Secondary"	""	10	A10	C10	D10	2		324	34.685	2742.53	65801.123	 	22.5398	51.5	698.94	CHEMI
"sHF101.8"	""	"Primary"	""	"Secondary"	""	10	A10	C10	D10	3		346	39.871	3260.62	100303.851	 	28.8992	25.8	713.98	CHEMI
"sHF101.8"	""	"Primary"	""	"Secondary"	""	10	A10	C10	D10	4		377	52.243	6395.2	159892.778	 	23.4878	41.6	726.61	CHEMI
